,age,New_Review_Helpfulness,New_Recommendation_Helpfulness,New_Personalized_Recommendation_Frequency,New_Cart_Completion_Frequency,New_Add_to_Cart_Browsing,age_group
283,23,0,1,1,2,2,2
284,41,2,2,0,3,1,4
285,32,0,0,1,1,1,3
286,23,0,1,1,1,1,2
287,22,1,1,2,2,1,2
288,48,0,1,2,1,0,4
289,32,2,1,2,1,1,3
290,28,1,0,1,2,1,3
291,23,1,1,2,1,1,2
292,23,0,1,0,1,2,2
293,26,0,1,1,2,1,3
294,34,1,1,1,2,1,3
295,23,2,1,1,2,1,2
296,22,1,1,1,2,1,2
297,32,1,1,1,0,1,3
298,47,2,1,0,3,2,4
299,22,2,1,1,2,1,2
300,47,0,2,0,3,2,4
301,22,2,1,0,2,2,2
302,45,1,1,1,0,1,4
303,21,0,1,1,1,1,2
304,27,0,2,0,3,0,3
305,37,1,1,1,2,1,3
306,33,2,0,0,4,2,3
307,22,0,0,0,3,0,2
308,25,0,0,0,3,0,2
309,28,2,2,2,3,2,3
310,17,1,1,0,3,0,1
311,16,0,0,0,2,0,1
312,32,1,1,2,3,1,3
313,27,0,0,0,2,2,3
314,18,1,0,0,3,0,1
315,37,1,2,0,3,0,3
316,28,2,1,2,2,0,3
317,48,2,2,1,4,2,4
318,50,2,2,2,2,2,4
319,24,2,1,0,2,2,2
320,40,1,1,0,4,0,3
321,25,2,2,0,4,2,2
322,31,2,2,0,4,2,3
323,18,2,2,0,2,0,1
324,26,2,2,2,3,2,3
325,16,1,1,0,3,2,1
326,18,0,0,1,3,0,1
327,40,0,0,0,3,0,3
328,19,2,2,2,3,1,2
329,16,1,0,1,2,2,1
330,43,1,1,0,2,1,4
331,25,0,0,0,2,1,2
332,22,2,1,1,2,1,2
333,17,1,1,1,3,0,1
334,34,1,2,1,3,2,3
335,30,1,1,1,2,1,3
336,31,1,0,1,3,0,3
337,31,0,0,1,2,0,3
338,34,2,2,2,4,2,3
339,26,2,2,0,4,2,3
340,26,2,1,2,2,1,3
341,24,0,1,1,1,1,2
342,26,1,0,0,1,1,3
343,29,1,1,1,2,2,3
344,37,1,0,2,2,2,3
345,34,2,0,1,3,1,3
346,31,2,1,2,3,1,3
347,27,2,2,0,4,2,3
348,23,0,2,1,2,0,2
349,21,2,0,1,4,1,2
350,53,1,1,2,3,2,4
351,26,2,1,0,3,1,3
352,28,1,2,1,2,0,3
353,47,1,1,2,2,1,4
354,37,2,0,2,4,2,3
355,37,0,0,1,3,0,3
356,39,1,1,2,2,1,3
357,40,1,0,0,3,0,3
358,23,2,0,1,3,2,2
359,25,2,0,0,3,1,2
360,34,1,1,2,4,2,3
361,26,1,1,0,3,2,3
362,31,0,0,0,2,1,3
363,26,1,0,1,1,0,3
364,34,0,1,1,2,1,3
365,18,1,1,2,3,1,1
366,40,1,2,1,3,0,3
367,42,0,1,0,3,1,4
368,35,1,1,1,2,1,3
369,37,0,1,0,3,2,3
370,46,1,1,1,0,1,4
371,24,1,1,1,3,1,2
372,35,0,0,0,2,0,3
373,46,1,0,1,2,1,4
374,32,1,1,2,2,1,3
375,35,1,0,1,2,0,3
376,36,0,1,2,2,0,3
377,15,0,2,0,3,0,1
378,43,2,1,1,2,1,4
379,20,0,0,1,3,2,2
380,34,1,0,1,2,1,3
381,34,1,1,2,2,1,3
382,47,0,0,0,2,1,4
383,25,0,0,2,3,2,2
384,21,2,1,1,2,1,2
385,24,0,0,0,3,0,2
386,36,1,2,2,2,0,3
387,46,2,1,0,2,0,4
388,27,2,0,1,3,2,3
389,25,1,1,0,3,0,2
390,43,0,1,1,4,2,4
391,32,1,2,1,3,1,3
392,18,1,1,1,3,0,1
393,45,0,0,0,0,1,4
394,25,2,2,2,3,2,2
395,45,1,0,1,2,0,4
396,32,0,0,1,3,1,3
397,42,2,0,1,4,1,4
398,35,1,0,0,2,1,3
399,35,1,1,0,3,1,3
400,52,1,1,2,4,1,4
401,24,2,2,0,2,2,2
402,28,2,0,0,3,2,3
403,33,2,2,0,3,2,3
404,23,1,1,1,1,1,2
405,21,2,2,2,2,2,2
406,34,0,0,0,4,0,3
407,23,0,1,0,2,0,2
408,34,0,1,1,2,0,3
409,34,2,1,0,2,0,3
410,25,1,1,1,1,1,2
411,32,2,1,1,4,0,3
412,24,2,2,2,3,2,2
413,34,1,0,1,1,1,3
414,44,1,1,1,2,1,4
415,23,1,0,1,2,1,2
416,23,0,0,1,2,0,2
417,34,1,0,1,3,1,3
